num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported,month,day_month,day_week,hour,minute
0.0,0.0,0.0,27.0,1685570205.0,5,31,2,21,56
0.0,0.0,0.0,27.0,1685570470.0,5,31,2,22,1
0.0,0.0,0.0,28.0,1685570738.0,5,31,2,22,5
0.0,0.0,0.0,28.0,1685571037.0,5,31,2,22,10
0.0,0.0,0.0,28.0,1685571563.0,5,31,2,22,19
0.0,0.0,0.0,28.0,1685571823.0,5,31,2,22,23
0.0,0.0,0.0,28.0,1685572081.0,5,31,2,22,28
0.0,0.0,0.0,28.0,1685572342.0,5,31,2,22,32
0.0,0.0,0.0,28.0,1685572604.0,5,31,2,22,36
0.0,0.0,0.0,28.0,1685572908.0,5,31,2,22,41
0.0,0.0,0.0,28.0,1685573174.0,5,31,2,22,46
0.0,0.0,0.0,28.0,1685573441.0,5,31,2,22,50
0.0,0.0,0.0,28.0,1685573972.0,5,31,2,22,59
0.0,0.0,0.0,28.0,1685574238.0,5,31,2,23,3
0.0,0.0,0.0,28.0,1685574504.0,5,31,2,23,8
0.0,0.0,0.0,28.0,1685574771.0,5,31,2,23,12
0.0,0.0,0.0,28.0,1685575032.0,5,31,2,23,17
0.0,0.0,0.0,28.0,1685575297.0,5,31,2,23,21
0.0,0.0,0.0,28.0,1685575563.0,5,31,2,23,26
0.0,0.0,0.0,28.0,1685576097.0,5,31,2,23,34
0.0,0.0,0.0,28.0,1685576358.0,5,31,2,23,39
0.0,0.0,0.0,28.0,1685576624.0,5,31,2,23,43
0.0,0.0,0.0,28.0,1685576885.0,5,31,2,23,48
0.0,0.0,0.0,28.0,1685577150.0,5,31,2,23,52
0.0,0.0,0.0,28.0,1685577418.0,5,31,2,23,56
0.0,0.0,0.0,28.0,1685577683.0,6,1,3,0,1
0.0,0.0,0.0,28.0,1685577949.0,6,1,3,0,5
0.0,0.0,0.0,28.0,1685578480.0,6,1,3,0,14
0.0,0.0,0.0,28.0,1685578742.0,6,1,3,0,19
0.0,0.0,0.0,28.0,1685579006.0,6,1,3,0,23
0.0,0.0,0.0,28.0,1685579273.0,6,1,3,0,27
0.0,0.0,0.0,28.0,1685579536.0,6,1,3,0,32
0.0,0.0,0.0,28.0,1685579800.0,6,1,3,0,36
0.0,0.0,0.0,28.0,1685580065.0,6,1,3,0,41
0.0,0.0,0.0,28.0,1685580330.0,6,1,3,0,45
0.0,0.0,0.0,28.0,1685580863.0,6,1,3,0,54
0.0,0.0,0.0,28.0,1685581126.0,6,1,3,0,58
0.0,0.0,0.0,28.0,1685581390.0,6,1,3,1,3
0.0,0.0,0.0,28.0,1685581655.0,6,1,3,1,7
0.0,0.0,0.0,28.0,1685581919.0,6,1,3,1,11
0.0,0.0,0.0,28.0,1685582181.0,6,1,3,1,16
1.0,0.0,1.0,27.0,1685582442.0,6,1,3,1,20
1.0,0.0,1.0,27.0,1685582972.0,6,1,3,1,29
4.0,1.0,3.0,24.0,1685583237.0,6,1,3,1,33
4.0,1.0,3.0,24.0,1685583502.0,6,1,3,1,38
4.0,1.0,3.0,24.0,1685583770.0,6,1,3,1,42
4.0,1.0,3.0,24.0,1685584038.0,6,1,3,1,47
4.0,1.0,3.0,24.0,1685584300.0,6,1,3,1,51
4.0,1.0,3.0,24.0,1685584568.0,6,1,3,1,56
4.0,1.0,3.0,24.0,1685584828.0,6,1,3,2,0
4.0,1.0,3.0,24.0,1685585359.0,6,1,3,2,9
4.0,1.0,3.0,24.0,1685585624.0,6,1,3,2,13
4.0,1.0,3.0,24.0,1685585887.0,6,1,3,2,18
4.0,1.0,3.0,24.0,1685586153.0,6,1,3,2,22
4.0,1.0,3.0,24.0,1685586421.0,6,1,3,2,27
4.0,1.0,3.0,24.0,1685586686.0,6,1,3,2,31
4.0,1.0,3.0,24.0,1685586953.0,6,1,3,2,35
4.0,1.0,3.0,24.0,1685587482.0,6,1,3,2,44
4.0,1.0,3.0,24.0,1685587749.0,6,1,3,2,49
4.0,1.0,3.0,24.0,1685588011.0,6,1,3,2,53
4.0,1.0,3.0,24.0,1685588279.0,6,1,3,2,57
4.0,1.0,3.0,24.0,1685588543.0,6,1,3,3,2
4.0,1.0,3.0,24.0,1685588808.0,6,1,3,3,6
4.0,1.0,3.0,24.0,1685589070.0,6,1,3,3,11
4.0,1.0,3.0,24.0,1685589335.0,6,1,3,3,15
4.0,1.0,3.0,24.0,1685589867.0,6,1,3,3,24
4.0,1.0,3.0,24.0,1685590135.0,6,1,3,3,28
4.0,1.0,3.0,24.0,1685590400.0,6,1,3,3,33
4.0,1.0,3.0,24.0,1685590666.0,6,1,3,3,37
4.0,1.0,3.0,24.0,1685590932.0,6,1,3,3,42
4.0,1.0,3.0,24.0,1685591200.0,6,1,3,3,46
4.0,1.0,3.0,24.0,1685591466.0,6,1,3,3,51
4.0,1.0,3.0,24.0,1685591729.0,6,1,3,3,55
4.0,1.0,3.0,24.0,1685592259.0,6,1,3,4,4
4.0,1.0,3.0,24.0,1685592526.0,6,1,3,4,8
4.0,1.0,3.0,24.0,1685592786.0,6,1,3,4,13
4.0,1.0,3.0,24.0,1685593042.0,6,1,3,4,17
4.0,1.0,3.0,24.0,1685593300.0,6,1,3,4,21
4.0,1.0,3.0,24.0,1685593557.0,6,1,3,4,25
4.0,1.0,3.0,24.0,1685594077.0,6,1,3,4,34
5.0,1.0,4.0,23.0,1685594341.0,6,1,3,4,39
5.0,1.0,4.0,23.0,1685594607.0,6,1,3,4,43
5.0,1.0,4.0,23.0,1685594874.0,6,1,3,4,47
5.0,1.0,4.0,23.0,1685595132.0,6,1,3,4,52
5.0,1.0,4.0,23.0,1685595391.0,6,1,3,4,56
5.0,1.0,4.0,23.0,1685595647.0,6,1,3,5,0
5.0,1.0,4.0,23.0,1685596167.0,6,1,3,5,9
5.0,1.0,4.0,23.0,1685596430.0,6,1,3,5,13
5.0,1.0,4.0,23.0,1685596694.0,6,1,3,5,18
4.0,1.0,3.0,24.0,1685596961.0,6,1,3,5,22
4.0,1.0,3.0,24.0,1685597227.0,6,1,3,5,27
4.0,1.0,3.0,24.0,1685597493.0,6,1,3,5,31
5.0,1.0,4.0,23.0,1685597757.0,6,1,3,5,35
6.0,1.0,5.0,21.0,1685598024.0,6,1,3,5,40
7.0,1.0,6.0,20.0,1685598555.0,6,1,3,5,49
11.0,1.0,10.0,16.0,1685598820.0,6,1,3,5,53
12.0,1.0,11.0,15.0,1685599086.0,6,1,3,5,58
17.0,1.0,16.0,11.0,1685599353.0,6,1,3,6,2
20.0,1.0,19.0,8.0,1685599617.0,6,1,3,6,6
20.0,1.0,19.0,8.0,1685599883.0,6,1,3,6,11
23.0,1.0,22.0,5.0,1685600148.0,6,1,3,6,15
25.0,1.0,24.0,3.0,1685600678.0,6,1,3,6,24
24.0,1.0,23.0,4.0,1685600944.0,6,1,3,6,29
26.0,1.0,25.0,2.0,1685601212.0,6,1,3,6,33
26.0,1.0,25.0,2.0,1685601478.0,6,1,3,6,37
27.0,1.0,26.0,1.0,1685601746.0,6,1,3,6,42
28.0,2.0,26.0,0.0,1685602012.0,6,1,3,6,46
28.0,2.0,26.0,0.0,1685602277.0,6,1,3,6,51
28.0,2.0,26.0,0.0,1685602542.0,6,1,3,6,55
27.0,1.0,26.0,1.0,1685603073.0,6,1,3,7,4
28.0,1.0,27.0,0.0,1685603339.0,6,1,3,7,8
28.0,1.0,27.0,0.0,1685603604.0,6,1,3,7,13
28.0,1.0,27.0,0.0,1685603869.0,6,1,3,7,17
28.0,1.0,27.0,0.0,1685604134.0,6,1,3,7,22
28.0,1.0,27.0,0.0,1685604397.0,6,1,3,7,26
28.0,1.0,27.0,0.0,1685604665.0,6,1,3,7,31
28.0,1.0,27.0,0.0,1685604930.0,6,1,3,7,35
28.0,1.0,27.0,0.0,1685605469.0,6,1,3,7,44
28.0,1.0,27.0,0.0,1685605736.0,6,1,3,7,48
28.0,1.0,27.0,0.0,1685606001.0,6,1,3,7,53
28.0,1.0,27.0,0.0,1685606268.0,6,1,3,7,57
28.0,1.0,27.0,0.0,1685606536.0,6,1,3,8,2
28.0,1.0,27.0,0.0,1685606798.0,6,1,3,8,6
28.0,1.0,27.0,0.0,1685607062.0,6,1,3,8,11
28.0,1.0,27.0,0.0,1685607324.0,6,1,3,8,15
28.0,1.0,27.0,0.0,1685607851.0,6,1,3,8,24
28.0,1.0,27.0,0.0,1685608114.0,6,1,3,8,28
28.0,1.0,27.0,0.0,1685608378.0,6,1,3,8,32
28.0,1.0,27.0,0.0,1685608640.0,6,1,3,8,37
28.0,1.0,27.0,0.0,1685608905.0,6,1,3,8,41
26.0,1.0,25.0,2.0,1685609168.0,6,1,3,8,46
28.0,1.0,27.0,0.0,1685609430.0,6,1,3,8,50
27.0,0.0,27.0,1.0,1685609960.0,6,1,3,8,59
27.0,0.0,27.0,1.0,1685610223.0,6,1,3,9,3
27.0,0.0,27.0,1.0,1685610486.0,6,1,3,9,8
27.0,0.0,27.0,1.0,1685610752.0,6,1,3,9,12
28.0,0.0,28.0,0.0,1685611021.0,6,1,3,9,17
26.0,0.0,26.0,2.0,1685611286.0,6,1,3,9,21
26.0,0.0,26.0,2.0,1685611552.0,6,1,3,9,25
27.0,0.0,27.0,1.0,1685612082.0,6,1,3,9,34
27.0,0.0,27.0,1.0,1685612346.0,6,1,3,9,39
26.0,0.0,26.0,2.0,1685612611.0,6,1,3,9,43
26.0,0.0,26.0,2.0,1685612875.0,6,1,3,9,47
28.0,0.0,28.0,0.0,1685613141.0,6,1,3,9,52
27.0,0.0,27.0,1.0,1685613405.0,6,1,3,9,56
28.0,0.0,28.0,0.0,1685613670.0,6,1,3,10,1
27.0,0.0,27.0,1.0,1685614197.0,6,1,3,10,9
26.0,0.0,26.0,2.0,1685614464.0,6,1,3,10,14
26.0,0.0,26.0,2.0,1685614730.0,6,1,3,10,18
26.0,0.0,26.0,2.0,1685614996.0,6,1,3,10,23
26.0,0.0,26.0,2.0,1685615261.0,6,1,3,10,27
26.0,0.0,26.0,2.0,1685615525.0,6,1,3,10,32
26.0,0.0,26.0,2.0,1685615794.0,6,1,3,10,36
26.0,0.0,26.0,2.0,1685616092.0,6,1,3,10,41
26.0,0.0,26.0,2.0,1685616354.0,6,1,3,10,45
26.0,0.0,26.0,2.0,1685616876.0,6,1,3,10,54
22.0,0.0,22.0,6.0,1685617136.0,6,1,3,10,58
19.0,0.0,19.0,9.0,1685617396.0,6,1,3,11,3
20.0,0.0,20.0,8.0,1685617658.0,6,1,3,11,7
19.0,0.0,19.0,9.0,1685617960.0,6,1,3,11,12
19.0,0.0,19.0,9.0,1685618226.0,6,1,3,11,17
18.0,0.0,18.0,10.0,1685618494.0,6,1,3,11,21
17.0,0.0,17.0,11.0,1685618761.0,6,1,3,11,26
13.0,0.0,13.0,15.0,1685619292.0,6,1,3,11,34
11.0,0.0,11.0,17.0,1685619557.0,6,1,3,11,39
10.0,0.0,10.0,18.0,1685619820.0,6,1,3,11,43
10.0,0.0,10.0,18.0,1685620079.0,6,1,3,11,47
11.0,1.0,10.0,17.0,1685620346.0,6,1,3,11,52
11.0,1.0,10.0,17.0,1685620613.0,6,1,3,11,56
12.0,0.0,12.0,14.0,1685620881.0,6,1,3,12,1
14.0,1.0,13.0,13.0,1685621145.0,6,1,3,12,5
13.0,0.0,13.0,14.0,1685621673.0,6,1,3,12,14
13.0,0.0,13.0,14.0,1685621936.0,6,1,3,12,18
13.0,0.0,13.0,12.0,1685622199.0,6,1,3,12,23
15.0,0.0,15.0,10.0,1685622466.0,6,1,3,12,27
11.0,0.0,11.0,14.0,1685622731.0,6,1,3,12,32
11.0,0.0,11.0,13.0,1685622996.0,6,1,3,12,36
11.0,0.0,11.0,14.0,1685623262.0,6,1,3,12,41
10.0,0.0,10.0,15.0,1685623794.0,6,1,3,12,49
13.0,0.0,13.0,12.0,1685624059.0,6,1,3,12,54
14.0,0.0,14.0,10.0,1685624323.0,6,1,3,12,58
16.0,0.0,16.0,8.0,1685624586.0,6,1,3,13,3
16.0,0.0,16.0,8.0,1685624849.0,6,1,3,13,7
17.0,0.0,17.0,7.0,1685625113.0,6,1,3,13,11
17.0,0.0,17.0,7.0,1685625376.0,6,1,3,13,16
18.0,0.0,18.0,7.0,1685625643.0,6,1,3,13,20
19.0,0.0,19.0,6.0,1685626171.0,6,1,3,13,29
20.0,0.0,20.0,5.0,1685626436.0,6,1,3,13,33
22.0,0.0,22.0,4.0,1685626699.0,6,1,3,13,38
20.0,0.0,20.0,5.0,1685626963.0,6,1,3,13,42
19.0,0.0,19.0,6.0,1685627227.0,6,1,3,13,47
20.0,0.0,20.0,6.0,1685627490.0,6,1,3,13,51
20.0,0.0,20.0,6.0,1685627756.0,6,1,3,13,55
20.0,0.0,20.0,6.0,1685628020.0,6,1,3,14,0
21.0,0.0,21.0,6.0,1685628550.0,6,1,3,14,9
21.0,0.0,21.0,6.0,1685628814.0,6,1,3,14,13
18.0,0.0,18.0,9.0,1685629082.0,6,1,3,14,18
17.0,0.0,17.0,9.0,1685629345.0,6,1,3,14,22
16.0,0.0,16.0,10.0,1685629612.0,6,1,3,14,26
15.0,0.0,15.0,13.0,1685629880.0,6,1,3,14,31
14.0,0.0,14.0,14.0,1685630145.0,6,1,3,14,35
14.0,0.0,14.0,14.0,1685630670.0,6,1,3,14,44
11.0,0.0,11.0,17.0,1685630932.0,6,1,3,14,48
12.0,1.0,11.0,16.0,1685631197.0,6,1,3,14,53
12.0,1.0,11.0,16.0,1685631460.0,6,1,3,14,57
11.0,1.0,10.0,17.0,1685631726.0,6,1,3,15,2
8.0,0.0,8.0,20.0,1685631992.0,6,1,3,15,6
4.0,0.0,4.0,24.0,1685632255.0,6,1,3,15,10
4.0,0.0,4.0,24.0,1685632519.0,6,1,3,15,15
4.0,0.0,4.0,24.0,1685633054.0,6,1,3,15,24
2.0,0.0,2.0,26.0,1685633318.0,6,1,3,15,28
2.0,0.0,2.0,26.0,1685633584.0,6,1,3,15,33
2.0,0.0,2.0,26.0,1685633849.0,6,1,3,15,37
0.0,0.0,0.0,28.0,1685634114.0,6,1,3,15,41
0.0,0.0,0.0,28.0,1685634374.0,6,1,3,15,46
2.0,0.0,2.0,26.0,1685634639.0,6,1,3,15,50
0.0,0.0,0.0,28.0,1685635172.0,6,1,3,15,59
0.0,0.0,0.0,28.0,1685635438.0,6,1,3,16,3
0.0,0.0,0.0,28.0,1685635703.0,6,1,3,16,8
0.0,0.0,0.0,28.0,1685635970.0,6,1,3,16,12
0.0,0.0,0.0,28.0,1685636233.0,6,1,3,16,17
0.0,0.0,0.0,28.0,1685636497.0,6,1,3,16,21
1.0,0.0,1.0,27.0,1685636760.0,6,1,3,16,26
1.0,0.0,1.0,27.0,1685637288.0,6,1,3,16,34
1.0,0.0,1.0,27.0,1685637550.0,6,1,3,16,39
1.0,0.0,1.0,27.0,1685637818.0,6,1,3,16,43
0.0,0.0,0.0,28.0,1685638083.0,6,1,3,16,48
0.0,0.0,0.0,28.0,1685638345.0,6,1,3,16,52
0.0,0.0,0.0,27.0,1685638613.0,6,1,3,16,56
1.0,0.0,1.0,27.0,1685638880.0,6,1,3,17,1
1.0,0.0,1.0,27.0,1685639143.0,6,1,3,17,5
0.0,0.0,0.0,28.0,1685639671.0,6,1,3,17,14
0.0,0.0,0.0,28.0,1685639936.0,6,1,3,17,18
0.0,0.0,0.0,28.0,1685640202.0,6,1,3,17,23
0.0,0.0,0.0,28.0,1685640468.0,6,1,3,17,27
0.0,0.0,0.0,28.0,1685640730.0,6,1,3,17,32
0.0,0.0,0.0,28.0,1685640997.0,6,1,3,17,36
1.0,0.0,1.0,27.0,1685641262.0,6,1,3,17,41
0.0,0.0,0.0,28.0,1685641527.0,6,1,3,17,45
0.0,0.0,0.0,28.0,1685642055.0,6,1,3,17,54
0.0,0.0,0.0,28.0,1685642319.0,6,1,3,17,58
0.0,0.0,0.0,28.0,1685642585.0,6,1,3,18,3
0.0,0.0,0.0,28.0,1685642849.0,6,1,3,18,7
1.0,0.0,1.0,27.0,1685643115.0,6,1,3,18,11
1.0,0.0,1.0,27.0,1685643378.0,6,1,3,18,16
0.0,0.0,0.0,28.0,1685643641.0,6,1,3,18,20
0.0,0.0,0.0,28.0,1685644169.0,6,1,3,18,29
1.0,0.0,1.0,27.0,1685644436.0,6,1,3,18,33
0.0,0.0,0.0,28.0,1685644699.0,6,1,3,18,38
0.0,0.0,0.0,27.0,1685644964.0,6,1,3,18,42
0.0,0.0,0.0,27.0,1685645228.0,6,1,3,18,47
0.0,0.0,0.0,27.0,1685645491.0,6,1,3,18,51
1.0,1.0,0.0,26.0,1685645755.0,6,1,3,18,55
0.0,0.0,0.0,26.0,1685646287.0,6,1,3,19,4
0.0,0.0,0.0,27.0,1685646552.0,6,1,3,19,9
0.0,0.0,0.0,27.0,1685646816.0,6,1,3,19,13
1.0,0.0,1.0,26.0,1685647082.0,6,1,3,19,18
3.0,0.0,3.0,24.0,1685647349.0,6,1,3,19,22
2.0,0.0,2.0,25.0,1685647612.0,6,1,3,19,26
1.0,0.0,1.0,26.0,1685647880.0,6,1,3,19,31
1.0,0.0,1.0,26.0,1685648143.0,6,1,3,19,35
1.0,0.0,1.0,26.0,1685648670.0,6,1,3,19,44
1.0,0.0,1.0,26.0,1685648933.0,6,1,3,19,48
0.0,0.0,0.0,27.0,1685649200.0,6,1,3,19,53
0.0,0.0,0.0,27.0,1685649464.0,6,1,3,19,57
0.0,0.0,0.0,27.0,1685649729.0,6,1,3,20,2
0.0,0.0,0.0,27.0,1685649993.0,6,1,3,20,6
0.0,0.0,0.0,27.0,1685650256.0,6,1,3,20,10
0.0,0.0,0.0,27.0,1685650521.0,6,1,3,20,15
0.0,0.0,0.0,27.0,1685651053.0,6,1,3,20,24
1.0,0.0,1.0,27.0,1685651315.0,6,1,3,20,28
1.0,0.0,1.0,27.0,1685651579.0,6,1,3,20,32
0.0,0.0,0.0,28.0,1685651840.0,6,1,3,20,37
0.0,0.0,0.0,28.0,1685652104.0,6,1,3,20,41
0.0,0.0,0.0,28.0,1685652372.0,6,1,3,20,46
0.0,0.0,0.0,28.0,1685652634.0,6,1,3,20,50
0.0,0.0,0.0,28.0,1685653163.0,6,1,3,20,59
0.0,0.0,0.0,28.0,1685653424.0,6,1,3,21,3
0.0,0.0,0.0,28.0,1685653689.0,6,1,3,21,8
0.0,0.0,0.0,28.0,1685653956.0,6,1,3,21,12
0.0,0.0,0.0,28.0,1685654221.0,6,1,3,21,17
0.0,0.0,0.0,28.0,1685654486.0,6,1,3,21,21
0.0,0.0,0.0,28.0,1685654753.0,6,1,3,21,25
0.0,0.0,0.0,28.0,1685655280.0,6,1,3,21,34
0.0,0.0,0.0,28.0,1685655545.0,6,1,3,21,39
0.0,0.0,0.0,28.0,1685655811.0,6,1,3,21,43
0.0,0.0,0.0,28.0,1685656075.0,6,1,3,21,47
0.0,0.0,0.0,28.0,1685656339.0,6,1,3,21,52
0.0,0.0,0.0,28.0,1685656605.0,6,1,3,21,56
0.0,0.0,0.0,28.0,1685656870.0,6,1,3,22,1
0.0,0.0,0.0,28.0,1685657136.0,6,1,3,22,5
0.0,0.0,0.0,28.0,1685657667.0,6,1,3,22,14
0.0,0.0,0.0,28.0,1685657929.0,6,1,3,22,18
0.0,0.0,0.0,28.0,1685658194.0,6,1,3,22,23
0.0,0.0,0.0,28.0,1685658461.0,6,1,3,22,27
0.0,0.0,0.0,28.0,1685658725.0,6,1,3,22,32
0.0,0.0,0.0,28.0,1685658989.0,6,1,3,22,36
0.0,0.0,0.0,28.0,1685659252.0,6,1,3,22,40
0.0,0.0,0.0,28.0,1685659782.0,6,1,3,22,49
0.0,0.0,0.0,28.0,1685660052.0,6,1,3,22,54
0.0,0.0,0.0,28.0,1685660318.0,6,1,3,22,58
0.0,0.0,0.0,28.0,1685660584.0,6,1,3,23,3
0.0,0.0,0.0,28.0,1685660850.0,6,1,3,23,7
0.0,0.0,0.0,28.0,1685661113.0,6,1,3,23,11
0.0,0.0,0.0,28.0,1685661377.0,6,1,3,23,16
0.0,0.0,0.0,28.0,1685661641.0,6,1,3,23,20
0.0,0.0,0.0,28.0,1685662169.0,6,1,3,23,29
0.0,0.0,0.0,27.0,1685662435.0,6,1,3,23,33
0.0,0.0,0.0,27.0,1685662699.0,6,1,3,23,38
0.0,0.0,0.0,27.0,1685662962.0,6,1,3,23,42
0.0,0.0,0.0,27.0,1685663227.0,6,1,3,23,47
1.0,0.0,1.0,27.0,1685663493.0,6,1,3,23,51
1.0,0.0,1.0,27.0,1685663759.0,6,1,3,23,55
0.0,0.0,0.0,28.0,1685664023.0,6,2,4,0,0
0.0,0.0,0.0,28.0,1685664554.0,6,2,4,0,9
0.0,0.0,0.0,28.0,1685664819.0,6,2,4,0,13
0.0,0.0,0.0,28.0,1685665084.0,6,2,4,0,18
0.0,0.0,0.0,28.0,1685665351.0,6,2,4,0,22
0.0,0.0,0.0,28.0,1685665614.0,6,2,4,0,26
0.0,0.0,0.0,28.0,1685665878.0,6,2,4,0,31
0.0,0.0,0.0,28.0,1685666141.0,6,2,4,0,35
0.0,0.0,0.0,28.0,1685666675.0,6,2,4,0,44
0.0,0.0,0.0,28.0,1685666939.0,6,2,4,0,48
0.0,0.0,0.0,28.0,1685667205.0,6,2,4,0,53
0.0,0.0,0.0,28.0,1685667473.0,6,2,4,0,57
0.0,0.0,0.0,28.0,1685667740.0,6,2,4,1,2
0.0,0.0,0.0,28.0,1685668004.0,6,2,4,1,6
0.0,0.0,0.0,28.0,1685668269.0,6,2,4,1,11
0.0,0.0,0.0,28.0,1685668532.0,6,2,4,1,15
0.0,0.0,0.0,28.0,1685669062.0,6,2,4,1,24
0.0,0.0,0.0,28.0,1685669326.0,6,2,4,1,28
0.0,0.0,0.0,28.0,1685669591.0,6,2,4,1,33
0.0,0.0,0.0,28.0,1685669858.0,6,2,4,1,37
0.0,0.0,0.0,28.0,1685670121.0,6,2,4,1,42
0.0,0.0,0.0,28.0,1685670387.0,6,2,4,1,46
0.0,0.0,0.0,28.0,1685670652.0,6,2,4,1,50
0.0,0.0,0.0,28.0,1685670917.0,6,2,4,1,55
0.0,0.0,0.0,28.0,1685671449.0,6,2,4,2,4
0.0,0.0,0.0,28.0,1685671716.0,6,2,4,2,8
0.0,0.0,0.0,28.0,1685671981.0,6,2,4,2,13
0.0,0.0,0.0,28.0,1685672246.0,6,2,4,2,17
0.0,0.0,0.0,28.0,1685672514.0,6,2,4,2,21
0.0,0.0,0.0,28.0,1685672781.0,6,2,4,2,26
0.0,0.0,0.0,28.0,1685673043.0,6,2,4,2,30
0.0,0.0,0.0,28.0,1685673568.0,6,2,4,2,39
0.0,0.0,0.0,28.0,1685673835.0,6,2,4,2,43
4.0,4.0,0.0,24.0,1685674100.0,6,2,4,2,48
4.0,4.0,0.0,24.0,1685674367.0,6,2,4,2,52
4.0,4.0,0.0,24.0,1685674634.0,6,2,4,2,57
4.0,4.0,0.0,24.0,1685674901.0,6,2,4,3,1
4.0,4.0,0.0,24.0,1685675165.0,6,2,4,3,6
4.0,4.0,0.0,24.0,1685675431.0,6,2,4,3,10
4.0,4.0,0.0,24.0,1685675963.0,6,2,4,3,19
4.0,4.0,0.0,24.0,1685676232.0,6,2,4,3,23
4.0,4.0,0.0,24.0,1685676500.0,6,2,4,3,28
4.0,4.0,0.0,24.0,1685676763.0,6,2,4,3,32
4.0,4.0,0.0,24.0,1685677024.0,6,2,4,3,37
4.0,4.0,0.0,24.0,1685677287.0,6,2,4,3,41
4.0,4.0,0.0,24.0,1685677551.0,6,2,4,3,45
4.0,4.0,0.0,24.0,1685678078.0,6,2,4,3,54
4.0,4.0,0.0,24.0,1685678343.0,6,2,4,3,59
4.0,4.0,0.0,24.0,1685678608.0,6,2,4,4,3
4.0,4.0,0.0,24.0,1685678872.0,6,2,4,4,7
4.0,4.0,0.0,24.0,1685679137.0,6,2,4,4,12
4.0,4.0,0.0,24.0,1685679401.0,6,2,4,4,16
4.0,4.0,0.0,24.0,1685679667.0,6,2,4,4,21
4.0,4.0,0.0,24.0,1685679930.0,6,2,4,4,25
4.0,4.0,0.0,24.0,1685680459.0,6,2,4,4,34
3.0,3.0,0.0,25.0,1685680727.0,6,2,4,4,38
3.0,3.0,0.0,25.0,1685680991.0,6,2,4,4,43
3.0,3.0,0.0,25.0,1685681257.0,6,2,4,4,47
3.0,3.0,0.0,25.0,1685681522.0,6,2,4,4,52
3.0,3.0,0.0,25.0,1685681790.0,6,2,4,4,56
3.0,3.0,0.0,25.0,1685682056.0,6,2,4,5,0
3.0,3.0,0.0,25.0,1685682587.0,6,2,4,5,9
3.0,3.0,0.0,25.0,1685682851.0,6,2,4,5,14
3.0,3.0,0.0,25.0,1685683117.0,6,2,4,5,18
3.0,3.0,0.0,25.0,1685683385.0,6,2,4,5,23
2.0,2.0,0.0,26.0,1685683653.0,6,2,4,5,27
2.0,2.0,0.0,26.0,1685683915.0,6,2,4,5,31
3.0,2.0,1.0,25.0,1685684179.0,6,2,4,5,36
2.0,2.0,0.0,26.0,1685684445.0,6,2,4,5,40
7.0,3.0,4.0,21.0,1685684975.0,6,2,4,5,49
11.0,3.0,8.0,17.0,1685685239.0,6,2,4,5,53
14.0,3.0,11.0,14.0,1685685500.0,6,2,4,5,58
14.0,3.0,11.0,14.0,1685685763.0,6,2,4,6,2
20.0,3.0,17.0,8.0,1685686028.0,6,2,4,6,7
20.0,3.0,17.0,8.0,1685686294.0,6,2,4,6,11
21.0,3.0,18.0,7.0,1685686559.0,6,2,4,6,15
21.0,3.0,18.0,7.0,1685686824.0,6,2,4,6,20
25.0,3.0,22.0,3.0,1685687352.0,6,2,4,6,29
27.0,3.0,24.0,1.0,1685687618.0,6,2,4,6,33
28.0,3.0,25.0,0.0,1685687882.0,6,2,4,6,38
28.0,3.0,25.0,0.0,1685688149.0,6,2,4,6,42
28.0,3.0,25.0,0.0,1685688416.0,6,2,4,6,46
28.0,3.0,25.0,0.0,1685688678.0,6,2,4,6,51
28.0,3.0,25.0,0.0,1685688942.0,6,2,4,6,55
28.0,3.0,25.0,0.0,1685689465.0,6,2,4,7,4
28.0,3.0,25.0,0.0,1685689731.0,6,2,4,7,8
27.0,3.0,24.0,1.0,1685689996.0,6,2,4,7,13
28.0,3.0,25.0,0.0,1685690262.0,6,2,4,7,17
28.0,3.0,25.0,0.0,1685690526.0,6,2,4,7,22
28.0,3.0,25.0,0.0,1685690792.0,6,2,4,7,26
28.0,3.0,25.0,0.0,1685691058.0,6,2,4,7,30
28.0,3.0,25.0,0.0,1685691323.0,6,2,4,7,35
12.0,0.0,12.0,16.0,1685691854.0,6,2,4,7,44
13.0,0.0,13.0,15.0,1685692116.0,6,2,4,7,48
13.0,0.0,13.0,15.0,1685692379.0,6,2,4,7,52
17.0,0.0,17.0,11.0,1685692646.0,6,2,4,7,57
19.0,0.0,19.0,8.0,1685692910.0,6,2,4,8,1
20.0,0.0,20.0,7.0,1685693176.0,6,2,4,8,6
23.0,0.0,23.0,4.0,1685693700.0,6,2,4,8,15
26.0,1.0,25.0,2.0,1685693968.0,6,2,4,8,19
28.0,1.0,27.0,0.0,1685694235.0,6,2,4,8,23
28.0,1.0,27.0,0.0,1685694499.0,6,2,4,8,28
27.0,1.0,26.0,0.0,1685694763.0,6,2,4,8,32
27.0,1.0,26.0,0.0,1685695024.0,6,2,4,8,37
26.0,1.0,25.0,1.0,1685695288.0,6,2,4,8,41
27.0,1.0,26.0,0.0,1685695552.0,6,2,4,8,45
27.0,1.0,26.0,0.0,1685696079.0,6,2,4,8,54
27.0,1.0,26.0,0.0,1685696342.0,6,2,4,8,59
27.0,1.0,26.0,0.0,1685696605.0,6,2,4,9,3
